y_px,x_px,sigma_px,height_nm,mean_nm,baseline_nm,area_px,x_nm,y_nm,method
239.0,403.0,2.923192024230957,719.4988098144531,568.6145629882812,196.78707885742188,57,2361.328125,1400.390625,baseline
107.0,0.0,2.923192024230957,578.424072265625,639.9241943359375,301.74005126953125,33,0.0,626.953125,baseline
404.0,281.0,1.9615960121154785,583.7571411132812,835.2371826171875,425.14154052734375,21,1646.484375,2367.1875,baseline
397.0,336.0,2.923192024230957,608.2582702636719,749.3478393554688,433.8187561035156,57,1968.75,2326.171875,baseline
105.0,100.0,2.923192024230957,722.1232604980469,645.954345703125,298.2383728027344,57,585.9375,615.234375,baseline
291.0,315.0,2.923192024230957,653.3939208984375,680.7537231445312,338.16064453125,57,1845.703125,1705.078125,baseline
416.0,390.0,1.9615960121154785,633.0933227539062,707.0090942382812,294.04461669921875,21,2285.15625,2437.5,baseline
334.0,470.0,2.923192024230957,693.602294921875,696.2117309570312,381.1597900390625,57,2753.90625,1957.03125,baseline
16.0,370.0,3.8847882747650146,680.947021484375,757.3917236328125,487.33740234375,97,2167.96875,93.75,baseline
16.0,246.0,2.923192024230957,835.3075561523438,626.1082763671875,259.03314208984375,57,1441.40625,93.75,baseline
178.0,426.0,2.923192024230957,614.03076171875,600.073486328125,269.9632568359375,57,2496.09375,1042.96875,baseline
91.0,480.0,2.923192024230957,775.7910766601562,579.8377685546875,257.37164306640625,57,2812.5,533.203125,baseline
434.0,366.0,2.923192024230957,836.5230712890625,590.68359375,265.5089111328125,57,2144.53125,2542.96875,baseline
353.0,239.0,1.9615960121154785,664.9168395996094,786.5631713867188,353.2110900878906,21,1400.390625,2068.359375,baseline
268.0,239.0,2.923192024230957,607.901611328125,604.2825927734375,276.0306396484375,57,1400.390625,1570.3125,baseline
214.0,110.0,2.923192024230957,733.128662109375,736.5419921875,402.7103271484375,57,644.53125,1253.90625,baseline
467.0,357.0,1.9615960121154785,536.8853759765625,663.7978515625,381.6845703125,21,2091.796875,2736.328125,baseline
240.0,460.0,2.923192024230957,616.0027618408203,565.468994140625,207.84727478027344,57,2695.3125,1406.25,baseline
0.0,468.0,3.8847882747650146,640.7388305664062,553.0714721679688,237.5142822265625,54,2742.1875,0.0,baseline
318.0,431.0,1.9615960121154785,574.917236328125,744.1217651367188,365.9609375,21,2525.390625,1863.28125,baseline
152.0,49.0,1.9615960121154785,784.3070373535156,648.2459106445312,254.77145385742188,21,287.109375,890.625,baseline
410.0,10.0,2.923192024230957,618.4595336914062,625.7073974609375,300.26300048828125,57,58.59375,2402.34375,baseline
465.0,319.0,2.923192024230957,627.3975219726562,802.4109497070312,486.27752685546875,57,1869.140625,2724.609375,baseline
257.0,404.0,2.923192024230957,659.2748718261719,640.2897338867188,306.0426330566406,57,2367.1875,1505.859375,baseline
75.0,245.0,1.9615960121154785,652.357666015625,695.290283203125,311.0826416015625,21,1435.546875,439.453125,baseline
452.0,376.0,1.9615960121154785,490.87347412109375,625.9783935546875,261.41375732421875,21,2203.125,2648.4375,baseline
24.0,297.0,3.8847882747650146,688.5809020996094,538.3762817382812,263.2845153808594,97,1740.234375,140.625,baseline
35.0,210.0,1.9615960121154785,544.6298828125,705.3915405273438,297.85546875,21,1230.46875,205.078125,baseline
